source,src,alt
"/blog/actualizaciones-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/agente-de-ia-tu-guia-definitiva-para-la-inteligencia-autonoma/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/agentes-de-ia-guia-completa-de-sistemas-inteligentes/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/alojar-web-en-cloudflare-pages-con-astro-y-resend/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/analitica-web-guia-completa-para-dominar-tus-datos-online/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/automatizacion-de-marketing-profesional/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/claude-code-gratis/index.html","/assets/blog/claude-code-gratis-1.webp",""
"/blog/claude-code-gratis/index.html","/assets/blog/claude-code-gratis-2.png",""
"/blog/claude-code-gratis/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/claude-vs-openclaw-guia-comparativa/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/consultoria-seo-guia-definitiva-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/copias-de-seguridad-tu-escudo-contra-la-perdida-de-datos/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/crea-tu-tienda-online-guia-completa-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/crear-clave-ssh-vps-en-hostinger/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/desarrollo-web-autonomo-la-guia-definitiva-para-el-exito-freelance/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/diseno-ux-ui-la-clave-para-productos-digitales-excepcionales/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/diseno-web-la-guia-definitiva-para-tu-presencia-online/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/ejercito-de-juniors/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/el-futuro-de-javascript-que-framework-dominara-en-2026/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/experto-en-automatizacion-rpa/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/experto-wordpress-tu-guia-definitiva-para-el-exito-digital/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/framework-python-2026-tendencias-y-predicciones-clave/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/gemini-cli/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/generacion-de-codigo-sintetico/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-oca-vs-correo-argentino/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-precios-mayoristas/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/blog/editor-de-codigo-personalizado.png","editor de código personalizado"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/blog/diseno-de-paginas-web.png","diseño de páginas web"
"/blog/guia-programacion-y-desarrollo-web/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-servicio-de-oca-woocommerce/index.html","/assets/avatar.jpg","Esteban Selvaggi"
"/blog/guia-woocommerce/index.html","/assets/blog/guia-woocommerce-1.webp",""
